source_catalog,source_schema,source_table,unique_keys,updated_column,target_catlog,target_schema
mfl_bronze_prod,sap,vbkd,"mandt, vbeln, posnr",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,adr6,"client,addrnumber,persnumber,date_from,consnumber",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,adrc,"client,addrnumber,date_from,nation",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,ce1mfl1,"mandt,paledger,vrgar,versi,perio,paobjnr,pasubnr,belnr,posnr",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,ce1mfl2,"mandt,paledger,vrgar,versi,perio,paobjnr,pasubnr,belnr,posnr",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,dd07l,"domname,as4local,valpos,as4vers",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,dd07t,"domname,ddlanguage,as4local,valpos,as4vers",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,ekbe,"mandt,ebeln,ebelp,zekkn,vgabe,gjahr,belnr,buzei",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,ekbz,"mandt,ebeln,ebelp,stunr,zaehk,vgabe,gjahr,belnr,buzei",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,ekes,"mandt,ebeln,ebelp,etens",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,eket,"mandt,ebeln,ebelp,etenr",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,ekko,"mandt,ebeln",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,ekpo,"mandt,ebelp,ebeln",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,irm_gmlhdr,"mandt,msnum",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,irm_gmlmbr,"mandt,msnum,contr",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,KNA1,"mandt,kunnr",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,knvh,"mandt,hityp,kunnr,vkorg,vtweg,spart,datab",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,knvp,"mandt,kunnr,vkorg,vtweg,spart,parvw,parza",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,knvv,"mandt,kunnr,vkorg,vtweg,spart",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,konv_clstr,"mandt,knumv,kposn,stunr,zaehk",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,lfa1,"mandt,lifnr",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,likp,"mandt,vbeln",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,lips,"mandt,vbeln,posnr",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,makt,"mandt,matnr,spras",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,mara,"mandt,matnr",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,marc,"mandt,matnr,werks",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,marm,"mandt,matnr,meinh",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,t001,"mandt,bukrs",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,t001k,"mandt,bwkey",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,t001w,"mandt,werks",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,t005,"mandt,spras,land1",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,t005t,"mandt,spras,land1",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,t005u,"mandt,spras,land1,bland",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,t006a,"mandt,spras,msehi",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,t023t,"mandt,spras,matkl",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,T077X,"mandt,spras,ktokd",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,t134t,"mandt,spras,mtart",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,t141t,"mandt,spras,mmsta",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,t142t,"mandt,spras,raube",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,t161t,"mandt,spras,bsart,bstyp",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,t179t,"mandt,spras,prodh",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,tcurf,"mandt,kurst,fcurr,tcurr,gdatu",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,tcurr,"mandt,kurst,fcurr,tcurr,gdatu",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,tcurx,currkey,tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,TKUKT,"mandt,spras,kukla",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,tsact,"langu,comm_type",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,tspat,"mandt,spras,spart",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,tvagt,"mandt,spras,abgru",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,tvak,"mandt,auart",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,tvakt,"mandt,spras,auart",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,tvau,"mandt,augru",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,tvaut,"mandt,spras,augru",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,tvbur,"mandt,vkbur",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,tvftt,"mandt,spras,fkpty",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,TVK1T,"mandt,spras,katr1",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,TVK2T,"mandt,spras,katr2",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,TVK6T,"mandt,spras,katr6",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,TVK7T,"mandt,spras,katr7",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,TVK8T,"mandt,spras,katr8",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,TVK9T,"mandt,spras,katr9",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,tvkbt,"mandt,spras,vkbur",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,TVKO,"mandt,vkorg",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,TVK0T,"mandt,spras,katr10",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,tvktt,"mandt,spras,ktgrd",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,tvlk,"mandt,lfart",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,tvlkt,"mandt,spras,lfart",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,tvlst,"mandt,spras,lifsp",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,tvrot,"mandt,spras,route",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,tvst,"mandt,vstel",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,tvstt,"mandt,spras,vstel",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,tvtk,"mandt,shtyp",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,tvtkt,"mandt,spras,shtyp",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,tvtw,"mandt,vtweg",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,tvtwt,"mandt,spras,vtweg",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,tzone,"mandt,land1,zone1",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,tzont,"mandt,spras,land1,zone1",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,vbak,"mandt,vbeln",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,vbap,"mandt,vbeln,posnr",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,vbep,"mandt,vbeln,posnr,etenr",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,vbfa,"mandt,vbelv,posnv,vbeln,posnn,vbtyp_n",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,vbkd,"mandt,vbeln,posnr",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,vbpa,"mandt,vbeln,posnr,parvw",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,vbrk,"mandt,vbeln",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,vbrp,"mandt,vbeln,posnr",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,vbuk,"mandt,vbeln",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,vbup,"mandt,vbeln,posnr",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,vfkk,"mandt,fknum",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,vfkp,"mandt,fknum,fkpos",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,vtadd02t,"mandt,spras,add_info",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,vtsp,"mandt,tknum,tsnum,tpnum",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,vttk,"mandt,tknum",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,vttp,"mandt,tknum,tpnum",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,vtts,"mandt,tknum,tsnum",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,zgmtd_allgt,"mandt,spras,zallc",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,zgmtd_brdgt,"mandt,spras,zbgrc",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,zgmtd_brtpt,"mandt,spras,zbrtc",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,zgmtd_busut ,"mandt,spras,zbusc",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,zgmtd_cdett,"mandt,spras,zcdec",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,zgmtd_coprt,"mandt,spras,zcopc",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,zgmtd_coptt,"mandt,spras,zcopc",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,zgmtd_ctypt ,"mandt,spras,zctyc",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,zgmtd_form_sizet,"mandt,spras,zprodhl1,zprodhl2,zprodhl5,zfsic",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,zgmtd_ftypt,"mandt,spras,zprodhl1,zprodhl2,zprodhl5,zftyc",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,zgmtd_gradt,"mandt,spras,zgrdc",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,zgmtd_intpt,"mandt,spras,zintc",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,zgmtd_lifet,"mandt,spras,zlifc",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,zgmtd_sabut,"mandt,spras,zsbuc",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,zgmtd_sbiat,"mandt,spras,zsbic",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,zgmtd_sftypt,"mandt,spras,zprodhl1,zprodhl2,zprodhl5,zsfmc",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,zgotc_pallet_fct,"mandt,vkorg,kunag,werks,matnr",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,zgotcsales_short,"mandt,zz_ord_short_reason,zz_ord_short_description",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,tvk0t,"mandt,spras,katr10",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,t685a,"mandt,kappl,kschl",tas_rp_opcode,mfl_bronze_prod,sap_repl
mfl_bronze_prod,sap,t685t,"mandt,spras,kvewe,kappl,kschl",tas_rp_opcode,mfl_bronze_prod,sap_repl
